mega_cluster,id,fingerprint,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,name_modified
greenpeas,374427,newpeas,new peas,,7,7,1912,1917,0.3,0,new peas
americancheese,1289,americancheese,AMERICAN CHEESE,,1373,1399,1865,2012,0,0,american cheese
americancheese,373904,americancheese,American cheese,,268,273,1891,1952,0,0,american cheese
americancheese,374204,americancheese,American Cheese,,224,233,1882,1964,0.05,0,american cheese
americancheese,378858,americancheese,american cheese,,16,17,1900,1919,0.05,0,american cheese
americancheese,197085,americancheese,American Cheese,,4,4,1900,1907,0.1,0,american cheese
americancheese,411618,americancheese,American Cheese,,3,3,1912,1957,0.1,0,american cheese
americancheese,387201,americancheese,American cheese,,2,2,1914,1918,0.1,0,american cheese
americancheese,410665,americancheese,AMERICAN CHEESE,,1,1,1958,1958,1,0,american cheese
americancheese,412181,americancheese,American CHEESE,,1,1,1918,1918,0.2,0,american cheese
americancheese,436296,americancheese,American cheese,,1,1,1901,1901,0,0,american cheese
americancheese,19491,americancheeseyoung,Young American cheese,,51,51,1898,1966,0.1,0,young american cheese
americancheese,378966,americancheeseyoung,Young American Cheese,,9,9,1917,1919,0.15,0,young american cheese
americancheese,506854,americancheeseyoung,young american cheese,,1,1,0,0,0,0,young american cheese
frenchfriedpotatoes,385189,frenchfriedorderpotatoesto,French Fried Potatoes (to-order),,30,31,1917,1918,0.2,0,french fried potatoes (to-order)
frenchfriedpotatoes,386012,frenchfriedorderpotatoesto,French Fried potatoes (to-order),,21,21,1918,1928,0.2,0,french fried potatoes (to-order)
frenchfriedpotatoes,391726,frenchfriedorderpotatoesto,french Fried Potatoes (to-order),,1,1,1918,1918,0.2,0,french fried potatoes (to-order)
frenchfriedpotatoes,417601,frenchfriedorderpotatoesto,french fried potatoes (to-order),,1,1,1918,1918,0.2,0,french fried potatoes (to-order)
frenchfriedpotatoes,443213,frenchfriedorderpotatoesto,French Fried Potatoes (to-order),,1,1,1918,1918,0.2,0,french fried potatoes (to-order)
frenchfriedpotatoes,1259,frenchfriedpotatoes,French fried potatoes,,1329,1412,1884,1987,0,0,french fried potatoes
frenchfriedpotatoes,375011,frenchfriedpotatoes,French Fried Potatoes,,288,311,1894,1989,0,0,french fried potatoes
frenchfriedpotatoes,379156,frenchfriedpotatoes,French Fried potatoes,,33,33,1895,1959,0.05,0,french fried potatoes
frenchfriedpotatoes,395877,frenchfriedpotatoes,FRENCH FRIED POTATOES,,9,12,1912,1957,0,0,french fried potatoes
frenchfriedpotatoes,393034,frenchfriedpotatoes,French fried Potatoes,,11,11,1900,1925,0,0,french fried potatoes
frenchfriedpotatoes,410281,frenchfriedpotatoes,french fried potatoes,,9,9,1913,1917,0.05,0,french fried potatoes
frenchfriedpotatoes,407806,frenchfriedpotatoes,French fried potatoes,,2,2,1913,1917,0.25,0,french fried potatoes
frenchfriedpotatoes,248905,frenchfriedpotatoes,French Fried Potatoes,,1,1,1959,1959,0.75,0,french fried potatoes
frenchfriedpotatoes,401838,frenchfriedpotatoes,French fried potatoes,,1,1,1917,1917,0.2,0,french fried potatoes
frenchfriedpotatoes,445286,frenchfriedpotatoesraw,Raw French Fried Potatoes,,16,16,1913,1914,0.1,0,raw french fried potatoes
frenchfriedpotatoes,481938,frenchfriedpotatoesraw,raw french fried potatoes,,2,2,1913,1913,0.1,0,raw french fried potatoes
frenchfriedpotatoes,484693,frenchfriedpotatoesraw,Raw French Fried Potatoes,,1,1,1913,1913,0.1,0,raw french fried potatoes
frenchfriedpotatoes,500532,frenchfriedpotatoesraw,Raw French fried Potatoes,,1,1,1913,1913,0.1,0,raw french fried potatoes
frenchfriedpotatoes,45104,frenchfries,French Fries,,48,51,1901,2000,0,0,french fries
frenchfriedpotatoes,448291,frenchfries,French fries,,2,2,1965,2005,0.25,0,french fries
frenchfriedpotatoes,505698,frenchfries,french fries,,1,1,0,0,0,0,french fries
roquefort,97112,cheeseimportedroquefort,Imported Roquefort Cheese,,46,51,1899,1980,0,0,imported roquefort cheese
roquefort,433282,cheeseimportedroquefort,Imported Roquefort cheese,,5,5,1914,1914,0.15,0,imported roquefort cheese
roquefort,1287,cheeseroquefort,ROQUEFORT CHEESE,,1137,1191,1881,1985,0,0,roquefort cheese
roquefort,374088,cheeseroquefort,Roquefort Cheese,,355,400,1882,1985,0,0,roquefort cheese
roquefort,373905,cheeseroquefort,Roquefort cheese,,346,363,1889,1928,0,0,roquefort cheese
roquefort,15245,cheeseroquefort,"Cheese, Roquefort",,25,26,1892,1933,0.1,0,"cheese, roquefort"
roquefort,406108,cheeseroquefort,roquefort cheese,,23,23,1913,1917,0.1,0,roquefort cheese
roquefort,109922,cheeseroquefort,Roquefort Cheese,,11,11,1890,1913,0,0,roquefort cheese
roquefort,412175,cheeseroquefort,Roquefort CHEESE,,1,1,1918,1918,0.25,0,roquefort cheese
roquefort,421338,cheeseroquefort,ROQUEFORT Cheese,,1,1,1907,1907,0,0,roquefort cheese
roquefort,445204,cheeseroquefort,Roquefort Cheese,,1,1,1914,1914,0.2,0,roquefort cheese
roquefort,498051,cheeseroquefort,"CHEESE, Roquefort",,1,1,1913,1913,0.2,0,"cheese, roquefort"
roquefort,501331,cheeseroquefort,roquefort cheese,,1,1,1913,1913,0,0,roquefort cheese
roquefort,498050,cheeseroquefort,"CHEESE, Roquefort",,0,0,0,0,0,0,"cheese, roquefort"
roquefort,15245,cheeseroquefort,"Cheese, Roquefort",,25,26,1892,1933,0.1,0.4,"cheese, roquefort"
roquefort,498051,cheeseroquefort,"CHEESE, Roquefort",,1,1,1913,1913,0.2,0.2,"cheese, roquefort"
roquefort,7304,defromageroquefort,Fromage de Roquefort,,15,16,1894,1917,0.45,0.45,fromage de roquefort
roquefort,442881,defromageroquefort,Fromage de roquefort,,1,1,1895,1895,0,,fromage de roquefort
roquefort,46945,fromageroquefort,Fromage Roquefort,,17,17,1900,1958,0,0.5,fromage roquefort
roquefort,474677,fromageroquefort,fromage roquefort,,1,1,1912,1912,0,,fromage roquefort
roquefort,136469,importedroquefort,Imported Roquefort,,21,21,1913,1962,0,0.9,imported roquefort
roquefort,469998,importedroquefort,IMPORTED ROQUEFORT,,2,2,1921,1961,0,0.5,imported roquefort
roquefort,393031,importedroquefort,Imported roquefort,,1,1,1920,1920,0.45,0.45,imported roquefort
roquefort,69007,perpersonroquefort,"Roquefort, per person",,10,13,1907,1916,0.2,0.25,"roquefort, per person"
roquefort,456801,perpersonroquefort,"Roquefort, per person",,1,1,0,0,0,0,"roquefort, per person"
roquefort,1308,roquefort,Roquefort,,1267,1439,1882,1985,0,30,roquefort
roquefort,393772,roquefort,roquefort,,22,22,1913,1933,0.1,0.5,roquefort
roquefort,387198,roquefort,Roquefort,,18,18,1883,1918,0.15,25,roquefort
roquefort,374246,roquefort,ROQUEFORT,,13,13,1893,1916,0.3,0.3,roquefort
roquefort,448905,roquefort,ROQUEFORT,,6,6,1885,1913,0,,roquefort
roquefort,406696,roquefort,roquefort,,3,3,1912,1917,0.2,0.45,roquefort
apollinaris,776,apollinaris,Apollinaris,,1364,1472,1,1988,0,40.25,apollinaris
